"","iso2c","year","income_pc","market_wealth","final_consumption","household_expenditure","share_capital_income","share_labor_income","labor_income","Pi","C","K","f","g","r","country"
"30","AU",1965,20706.608670047,1012109574414.85,35790436652.0883,152136308388.583,0.228692054748535,0.771307945251465,181127690721.302,181127690721.302,187926745040.671,1012109574414.85,0.00713293216592576,0.0618107459766634,0.0689436781425892,"Australia"
"31","AU",1966,20615.1483844019,1072799606261.74,37716606332.2649,158184850033.724,0.21190120279789,0.788098812103271,188454672226.457,188454672226.457,195901456365.988,1072799606261.74,0.00735768569706213,0.0599638946029837,0.0673215803000459,"Australia"
"32","AU",1967,21450.6211566798,1074540069211.2,42564195242.6029,160343656784.859,0.217717781662941,0.78228223323822,197993886329.323,197993886329.323,202907852027.462,1074540069211.2,0.00458050661974208,0.00162235606659775,0.00620286268633983,"Australia"
"33","AU",1968,22026.8209562438,1133063757480.78,43760383349.0826,172942543959.192,0.217924132943153,0.782075881958008,206868652217.651,206868652217.651,216702927308.275,1133063757480.78,0.00915207852401708,0.0544639422451168,0.0636160207691339,"Australia"
"34","AU",1969,23178.1365816161,1200944920479.37,47198036321.9329,177774781719.918,0.226559683680534,0.773440301418304,219837656977.569,219837656977.569,224972818041.851,1200944920479.37,0.00453210247912228,0.0599093939334093,0.0644414964125315,"Australia"
"35","AU",1970,23873.3025008785,1301516861621.01,50198248130.1987,190228959611.904,0.231291130185127,0.768708884716034,229529830896.281,229529830896.281,240427207742.103,1301516861621.01,0.00907400219609714,0.083744008094475,0.0928180102905721,"Australia"
"36","AU",1971,23809.4835460061,1405179989279.68,55487729261.5162,198096740134.774,0.218580573797226,0.781419456005096,243118938559.862,243118938559.862,253584469396.291,1405179989279.68,0.00804102593292094,0.0796479328969734,0.0876889588298943,"Australia"
"37","AU",1972,24461.5615084757,1491697514506.15,57528583018.184,208980094715.414,0.214345961809158,0.785654067993164,255674380991.472,255674380991.472,266508677733.598,1491697514506.15,0.00771025550091994,0.0615704222139003,0.0692806777148202,"Australia"
"38","AU",1973,25212.145586003,1609518509066.53,62300476220.0791,214108333276.353,0.223795220255852,0.776204764842987,264280764906.858,264280764906.858,276408809496.432,1609518509066.53,0.00813036454886687,0.0789845081959406,0.0871148727448074,"Australia"
"39","AU",1974,25688.8230451133,1751315623943.57,68319564303.7633,214151112257.266,0.206092447042465,0.793907582759857,279865572059.1,279865572059.1,282470676561.029,1751315623943.57,0.00161856138171425,0.0880990893104291,0.0897176506921433,"Australia"
"40","AU",1975,26156.2867272992,1769702727013.34,77322869252.4087,226964293932.252,0.172697842121124,0.827302157878876,300633013826.908,300633013826.908,304287163184.661,1769702727013.34,0.00208651673507289,0.0104990230306778,0.0125855397657506,"Australia"
"41","AU",1976,26390.8992970688,1789058273395.7,78698611974.8721,236784478728.291,0.16980642080307,0.83019357919693,307458766583.06,307458766583.06,315483090703.163,1789058273395.7,0.00453427798783176,0.010937173846722,0.0154714518345537,"Australia"
"42","AU",1977,26929.7697504177,1803436806135.64,81272671207.9643,249136082525.149,0.183601260185242,0.816398739814758,312022254065.364,312022254065.364,330408753733.113,1803436806135.64,0.0102771943995154,0.00803692811674053,0.0183141225162559,"Australia"
"43","AU",1978,26588.1825206233,1811172808749.48,81516596868.3336,256423094537.549,0.179810896515846,0.820189118385315,313137450263.298,313137450263.298,337939691405.882,1811172808749.48,0.0137527641990017,0.00428958896010133,0.018042353159103,"Australia"
